Year,Delegates Level,,,,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,Groups of Specialists,,,,,,,,,,,,,,,,,,,,Standing Scientific Groups,,,Standing Committees,,,,,Scientific Research Programs,,,,,,,,,,,,,
Year,Meeting location,President,VP1,VP2,VP3,VP4,Secretaries,Cartography,Exchange Info,Met & Physical Ocean,Program,Biology,Upper At Phys,Meteorol,Geology,Crustal Geophys,Oceanography,Comms,Nat Reports,Logistics,Geodesy & Cartog,Geomagnetism,Glaciology,Solid-Earth Geop,Human Biol Med,Geodesy & Geograp Info,Atmospheric Sci,Phys Chem Atmos,Solar-Terrestrial,Geoscience,Seals,Ice Shelf Drill,Late Cenoz,SO Ecosyst,EAMREA,AEIMEE,Ant Clim Res,Sea ice,Biomass exec,SO Ecology,Lithosphere,Cenozoic paleo,Env Affairs Conserv,GC and Antarctc,Neotect,Subglacial,Ant data,ADM,Reorg,JCADM,Geosciences,Life Sciences,Physical Sciences,Finance,Antarctic Treaty,Geographic Info,Data Managament,HASS,ACE,AGCS,EBA,ICESTAR,SALE,PAIS,SERCE,AAA,AntClim21,AntEco,Ant-ERA,AntClimNow,INSTANT,Ant_ICON
2002,China,USA & Germany,Chile & New Zealand,South Africa & Spain,France,UK,,,,,,France,,,Brazil,,,,,,,,China,,Italy,Australia,,UK,Italy,Australia,USA,,,,,,,,,,,,UK,Netherlands,USA,USA & Germany,,,,UK & New Zealand,Australia,South Africa,UK,France,UK,,,,,,,,,,,,,,,,,
2003,,Germany,New Zealand,Spain,France,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Australia,South Africa,UK,France,UK,,,,,,,,,,,,,,,,,
2004,Germany,Germany,New Zealand,Spain,France & USA,UK & Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand & Netherlands,Australia & Italy,South Africa & Canada,UK,France & USA,UK,,,,UK & USA,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2005,,Germany,New Zealand,Spain,USA,Japan & China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Italy,Canada,UK,USA,UK,,,,UK & USA,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2006,Australia,Germany & UK,New Zealand & Argentina,Spain & Italy,USA,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Italy,Canada,UK & Italy,USA,UK & South Africa,Germany & Australia,,,UK & USA,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2007,,UK,Argentina,Italy,USA,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Italy,Canada,Italy,USA,South Africa,Germany & Australia,,,UK & USA,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2008,Russia,UK & USA,Argentina,Italy,USA & Netherlands,China & India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Italy,Canada,Italy,USA & Argentina,South Africa,Germany & Australia,Australia,,UK & USA,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2009,,USA,Argentina,Italy,Netherlands,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,Canada,Italy,Argentina,South Africa,Germany & Australia,Australia,,UK & USA & Spain,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2010,Argentina,USA,Argentina,Italy & S Korea,Netherlands,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,Canada,Italy & Japan,Argentina & Netherlands,South Africa,Germany & Australia & UK & Belgium,Australia,,USA & Spain,UK,Italy & UK,USA & Finland,USA,,,,,,,,,
2011,,USA,Argentina,S Korea,Netherlands,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Japan,Netherlands,South Africa,UK & Belgium,Australia,,USA & Spain,UK,Italy & UK,,,,,,,,,,,
